Qualification_Measurement,Lot,Wafer,Measurement,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Cycle_Time_s,Throughput_cycles_per_hour,Thickness_Deviation_%,Thickness_OK,GPC_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Qualification_OK
27,1,6,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10014715371244017,9.992324199155089,0.9471303044736562,48.48388814277227,3.004118255851029,0.19672922261319578,5.117128767483683,12.114114463684288,297.1740122476212,-0.07675800844911151,True,True,True,True,True,True,True,True
28,1,6,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10062973969472169,10.055763951859587,0.9926440600088385,47.29466798829447,3.0017683120350136,0.19773136110666548,5.027496005012375,12.114114463684288,297.1740122476212,0.5576395185958738,True,True,True,True,True,True,True,True
29,1,6,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.09979023307549607,9.952748320319431,0.9041819731829154,48.11568832319355,3.004985807046376,0.2024742534742687,4.68718852798154,12.114114463684288,297.1740122476212,-0.4725167968056887,True,True,True,True,True,True,True,True
30,1,6,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10031638543598503,10.002028741405034,0.92885371612209,47.14686440085953,2.9998514291939817,0.20422914934673483,4.759037120223817,12.114114463684288,297.1740122476212,0.020287414050343955,True,True,True,True,True,True,True,True
31,1,7,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10005435538794805,10.000904611047067,0.9637929875321944,47.61949379550305,3.0000510197212535,0.19878705381611833,5.02089253692597,12.114114463684288,297.1740122476212,0.009046110470674051,True,True,True,True,True,True,True,True
32,1,7,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1004771349726793,10.042999596623625,0.9861852763131206,46.446751586397845,3.0050486493422475,0.20061932582098338,5.028722207944221,12.114114463684288,297.1740122476212,0.4299959662362518,True,True,True,True,True,True,True,True
33,1,7,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10041721643205771,10.06586391411217,0.983708393639887,46.763033645158075,3.0046539828764787,0.1987333515610446,5.155021207838062,12.114114463684288,297.1740122476212,0.658639141121693,True,True,True,True,True,True,True,True
34,1,7,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10040174420759529,10.015404901795185,0.935165152341697,47.94490102663037,3.0046214059921037,0.19360397037099966,4.929105255427441,12.114114463684288,297.1740122476212,0.154049017951845,True,True,True,True,True,True,True,True
35,1,7,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10056621244782378,10.047374889733808,1.0071168362471767,48.13860118076856,3.0048806416624347,0.19603713886100552,5.254949160840764,12.114114463684288,297.1740122476212,0.47374889733807996,True,True,True,True,True,True,True,True
36,1,8,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10049487555325669,10.059418177567517,0.9826079752901989,47.86233423835593,3.00529192472199,0.19794519441226646,4.9508262995934365,12.114114463684288,297.1740122476212,0.594181775675171,True,True,True,True,True,True,True,True
37,1,8,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10027094709326488,10.034162518921354,0.9658363245937955,46.169550085276995,3.004774541092573,0.19542056672983701,4.916411196346553,12.114114463684288,297.1740122476212,0.34162518921354135,True,True,True,True,True,True,True,True
38,1,8,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10022685869239163,10.043167355675902,0.9110651010554137,46.527968670819625,3.007354042675774,0.20219529526486366,5.247741683623288,12.114114463684288,297.1740122476212,0.43167355675901575,True,True,True,True,True,True,True,True
39,1,8,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10024645107087277,10.05660913245976,0.9584968216818331,47.28371953071107,2.998885891579632,0.19795773505354775,4.946449665652273,12.114114463684288,297.1740122476212,0.566091324597604,True,True,True,True,True,True,True,True
40,1,8,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.099755500126053,9.952325100665,0.9561166338069151,46.70925816951825,3.0040221835401084,0.19721513050928802,5.032477112682619,12.114114463684288,297.1740122476212,-0.4767489933500002,True,True,True,True,True,True,True,True
41,1,9,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10060829745317965,10.070935484414733,0.9292182255914265,48.183629044268585,3.0013563935103713,0.19321970289804913,4.954618853470766,12.114114463684288,297.1740122476212,0.7093548441473274,True,True,True,True,True,True,True,True
42,1,9,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1004268069460471,10.053580070146209,0.9227028151616907,47.648425778156806,3.004533527135445,0.19617414960526977,4.9883877696682815,12.114114463684288,297.1740122476212,0.5358007014620902,True,True,True,True,True,True,True,True
43,1,9,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1003294028524893,10.038241044163549,0.9916508123161873,47.74913906699872,2.9999427490303283,0.1950406806358294,5.022364233543305,12.114114463684288,297.1740122476212,0.38241044163548565,True,True,True,True,True,True,True,True
44,1,9,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.09981096364880968,9.982123809467979,0.9658370295642502,48.035276187489124,3.001713914844093,0.19842500821935655,4.875859184510905,12.114114463684288,297.1740122476212,-0.17876190532021496,True,True,True,True,True,True,True,True
45,1,9,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1001156966063741,10.036398476851458,0.9492032010008621,47.908743002991415,3.004782777893154,0.20316376289809396,5.2067048303694685,12.114114463684288,297.1740122476212,0.3639847685145803,True,True,True,True,True,True,True,True
46,1,10,1,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10015658236787948,9.978208483319188,0.9559080846219208,47.250694605519854,3.002369992045305,0.19737284455284626,4.965664934474716,12.114114463684288,297.1740122476212,-0.2179151668081225,True,True,True,True,True,True,True,True
47,1,10,2,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.0998472713959123,9.993665573695788,1.0107807668973752,49.06749980627536,3.0037270591491865,0.20034299488977692,4.868476976807633,12.114114463684288,297.1740122476212,-0.06334426304212215,True,True,True,True,True,True,True,True
48,1,10,3,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.1001941704807128,10.0763811969722,0.9716791482913358,48.67462836126089,3.0027237833735896,0.1999281462480083,5.106580936145254,12.114114463684288,297.1740122476212,0.7638119697219992,True,True,True,True,True,True,True,True
49,1,10,4,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10047925164195136,10.022189215266236,0.9576428095030803,49.38501526565494,3.0024822223791325,0.20190823601745542,4.969540327547899,12.114114463684288,297.1740122476212,0.22189215266235962,True,True,True,True,True,True,True,True
50,1,10,5,200.0882531969333,0.9841069253704264,1.0012303589306577,1.0035015373368035,5.054691283708413,0.10000583600145485,9.980725981245609,0.925342323573643,46.152569070700494,3.001846254021794,0.19590449810812213,4.774033508199838,12.114114463684288,297.1740122476212,-0.19274018754391165,True,True,True,True,True,True,True,True
51,2,1,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10054033285357569,10.0989692487502,1.0190566615464602,50.96522298782198,2.995730296532202,0.19714241231656943,5.221017396122836,12.04200902504052,298.95343812764554,0.9896924875019941,True,True,True,True,True,True,True,True
52,2,1,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.1004707404394894,10.078579030228537,0.9673290062960996,50.87760673858286,2.998080093783928,0.19894882899103292,5.132683937746078,12.04200902504052,298.95343812764554,0.785790302285374,True,True,True,True,True,True,True,True
53,2,1,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10027821148301932,10.019834987809176,1.045194237171863,51.27448840963447,2.994816400076455,0.19374851916759245,5.060784785458295,12.04200902504052,298.95343812764554,0.1983498780917614,True,True,True,True,True,True,True,True
54,2,1,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10061276969556843,10.057132236414088,0.9863036629544562,50.646314407413364,2.997727464461756,0.1959684848881391,5.096251929279287,12.04200902504052,298.95343812764554,0.571322364140876,True,True,True,True,True,True,True,True
55,2,1,5,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10064329390202172,10.13180828459201,1.0211886991955408,51.53086830821691,2.992751060021165,0.19399093710312312,4.964184979446463,12.04200902504052,298.95343812764554,1.3180828459200988,True,True,True,True,True,True,True,True
56,2,2,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10043550002995513,9.990078392836729,0.995225441861127,51.699108338786715,2.996935791156156,0.19753150511458487,5.141641513431229,12.04200902504052,298.95343812764554,-0.09921607163271064,True,True,True,True,True,True,True,True
57,2,2,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10058790969432564,10.088187580712246,1.0068415128135895,50.9568584115546,2.9940451210898407,0.1961356969686583,5.049835368151321,12.04200902504052,298.95343812764554,0.8818758071224586,True,True,True,True,True,True,True,True
58,2,2,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.1004543457308636,10.018965387575463,0.9637653734941081,50.74128701211235,2.9964813882660826,0.19862675931261434,5.073425794617693,12.04200902504052,298.95343812764554,0.18965387575462955,True,True,True,True,True,True,True,True
59,2,2,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10112593998401682,10.120775197196904,1.025741229609009,50.69500070702201,2.996310831623488,0.1945469214517429,5.083968950200807,12.04200902504052,298.95343812764554,1.2077519719690422,True,True,True,True,True,True,True,True
60,2,2,5,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10065686705292277,10.040211479089148,1.0085245473633493,49.55100296188173,2.99640764523614,0.19921198250135552,5.097475824716021,12.04200902504052,298.95343812764554,0.4021147908914812,True,True,True,True,True,True,True,True
61,2,3,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10030272015275751,9.993683319877931,0.9435274221865718,50.11097067840585,2.9959508818007383,0.1903922261578238,4.890753397352295,12.04200902504052,298.95343812764554,-0.06316680122068874,True,True,True,True,True,True,True,True
62,2,3,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10019270917652333,10.002957837534593,1.0327664486039991,50.50938319447346,2.9992065023711665,0.19794061266230417,4.918339437734774,12.04200902504052,298.95343812764554,0.02957837534593111,True,True,True,True,True,True,True,True
63,2,3,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10102822569508536,10.124915203597222,0.9607665029882314,50.117629697320915,2.994512515331981,0.19522658799439585,5.0341977368472195,12.04200902504052,298.95343812764554,1.249152035972223,True,True,True,True,True,True,True,True
64,2,3,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10091665055265858,10.098279102252423,0.9965744109266655,51.11596591383585,2.9954168348976435,0.19778697456672112,4.956136352100267,12.04200902504052,298.95343812764554,0.982791022524232,True,True,True,True,True,True,True,True
65,2,3,5,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.1009518127081591,10.097319773253766,0.9901500446502016,49.38946700347455,2.9962571748239615,0.1944137096298139,5.190805623799755,12.04200902504052,298.95343812764554,0.9731977325376562,True,True,True,True,True,True,True,True
66,2,4,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10079351945587699,10.08592246064337,0.9961857753086928,50.88838244882353,2.994043910502175,0.18986088793234268,4.7988804040590525,12.04200902504052,298.95343812764554,0.8592246064337061,True,True,True,True,True,True,True,True
67,2,4,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10065621093600077,10.11868304036936,1.031023074213407,50.52486646558118,2.995417463185163,0.19502975706792375,4.980849284250406,12.04200902504052,298.95343812764554,1.1868304036936017,True,True,True,True,True,True,True,True
68,2,4,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10058440901154087,10.09327748036287,0.9622868319353396,51.29196609757476,2.995211941951627,0.19228344050061683,4.8918443037942225,12.04200902504052,298.95343812764554,0.9327748036286998,True,True,True,True,True,True,True,True
69,2,4,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10060186507369298,10.093564946699216,0.986385988236167,51.601267920434005,2.9947999930033045,0.20022157545367705,4.942968835831456,12.04200902504052,298.95343812764554,0.9356494669921566,True,True,True,True,True,True,True,True
70,2,4,5,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10120651786507627,10.14120921143935,0.9979497782122384,51.80084617332234,2.9963435167398065,0.19245710172054498,4.942626048099927,12.04200902504052,298.95343812764554,1.412092114393495,True,True,True,True,True,True,True,True
71,2,5,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10029466563031987,9.998335553575167,1.0281739883190548,50.60640765611919,2.9944138216655363,0.19734197579140692,4.871701393015711,12.04200902504052,298.95343812764554,-0.016644464248329882,True,True,True,True,True,True,True,True
72,2,5,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10070532449242987,10.077504138406336,1.0269747632487052,48.32804433416121,2.9969973870269517,0.20017831592603977,5.190716786024584,12.04200902504052,298.95343812764554,0.7750413840633641,True,True,True,True,True,True,True,True
73,2,5,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10085062971762085,10.085500101026277,1.0015366765190403,48.8220179586269,2.994419760953366,0.19487917323815046,4.773136585320088,12.04200902504052,298.95343812764554,0.8550010102627681,True,True,True,True,True,True,True,True
74,2,5,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10018570847785584,10.000289222484938,0.9631640692435702,50.2808174795306,2.9927954094046525,0.19667312822328026,4.880189114813268,12.04200902504052,298.95343812764554,0.0028922248493756797,True,True,True,True,True,True,True,True
75,2,5,5,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10040981947279257,10.03429921932878,0.9914555519727799,50.56106387366943,2.9955429083749023,0.19530074211774126,4.902127854860705,12.04200902504052,298.95343812764554,0.34299219328779884,True,True,True,True,True,True,True,True
76,2,6,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10044456011089466,10.052676141754834,0.992743838325241,48.56194103891933,2.9953744382011473,0.19477549747304737,5.11210847893976,12.04200902504052,298.95343812764554,0.5267614175483359,True,True,True,True,True,True,True,True
77,2,6,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10101274671484743,10.163421161358306,0.9893940219258927,51.0048253278362,2.997478321978838,0.19044594517900268,4.686364882864703,12.04200902504052,298.95343812764554,1.6342116135830587,True,True,True,True,True,True,True,True
78,2,6,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10011067864345367,10.012634639653951,0.986992177015725,51.4253344959224,2.995155629335078,0.20005478466038085,5.080515711710304,12.04200902504052,298.95343812764554,0.12634639653951396,True,True,True,True,True,True,True,True
79,2,6,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10117243071118459,10.059727857466056,1.027580377550245,50.09288843450711,2.996703913393457,0.19772504047010983,4.887635121192792,12.04200902504052,298.95343812764554,0.5972785746605602,True,True,True,True,True,True,True,True
80,2,6,5,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10036871860301885,10.07475834862061,1.0158507633554388,51.29638594940043,2.998975360655462,0.20409790854647047,5.044011569512297,12.04200902504052,298.95343812764554,0.747583486206107,True,True,True,True,True,True,True,True
81,2,7,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10044989016905352,10.051433192072906,1.0341618240511163,50.04302537139886,2.9945514356303287,0.189799488879927,5.021836411956784,12.04200902504052,298.95343812764554,0.5143319207290631,True,True,True,True,True,True,True,True
82,2,7,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10062020385894546,10.052661296920132,1.0221917291254774,50.471853276451576,2.997156071719048,0.20477528375783882,5.164837164687771,12.04200902504052,298.95343812764554,0.5266129692013166,True,True,True,True,True,True,True,True
83,2,7,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10068199870767525,10.071119949913466,0.9931111510348953,50.54111549918114,2.9940846877750684,0.19620188827744578,4.727447412638239,12.04200902504052,298.95343812764554,0.7111994991346648,True,True,True,True,True,True,True,True
84,2,7,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10090317336748766,10.136449829491935,0.9881720672901034,49.553206849325704,2.9937592659567356,0.19768746389826408,5.0809721056958965,12.04200902504052,298.95343812764554,1.364498294919354,True,True,True,True,True,True,True,True
85,2,7,5,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10088126708476446,10.035461528859935,1.0396928288876448,50.225669470498445,2.99817469111651,0.20168517006183134,4.931985445405495,12.04200902504052,298.95343812764554,0.35461528859935143,True,True,True,True,True,True,True,True
86,2,8,1,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10077268082030595,10.067682861298886,0.9968762928314401,51.66547701272546,2.9955587989854116,0.19869134880458303,5.090892851036037,12.04200902504052,298.95343812764554,0.6768286129888601,True,True,True,True,True,True,True,True
87,2,8,2,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10098859489988013,10.151672008550626,1.0216198620312291,51.25135764714012,2.9995862111117013,0.19766711220164598,4.833478890595606,12.04200902504052,298.95343812764554,1.5167200855062646,True,True,True,True,True,True,True,True
88,2,8,3,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10104573704395718,10.111454850626092,1.0453106466666495,48.123423566994184,2.9991660539331284,0.19796299199770806,4.999135356249574,12.04200902504052,298.95343812764554,1.114548506260924,True,True,True,True,True,True,True,True
89,2,8,4,200.0359725618061,0.9922541057868537,1.0028908280234201,1.007961095251649,5.015578550882725,0.10089662696264047,10.121374405098097,1.0260936528429336,51.140630408105054,2.9943028139320536,0.19241624138915725,4.732540458335522,12.04200902504052,298.95343812764554,1.2137440509809672,True,True,True,True,True,True,True,True
